[2018-10-08T11:59:10.700] [INFO] default - [10.3.135.10 GET /www/css/index-6ffb15d628.css 304 2ms][http://10.3.135.10:10000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T11:59:10.956] [INFO] default - [10.3.135.10 GET /www/js/base-0a5a745a5f.js 304 257ms][http://10.3.135.10:10000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T11:59:11.063] [INFO] default - [10.3.135.10 GET /www/js/xframe-min-1-fac093c236.0.js 304 107ms][http://10.3.135.10:10000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T11:59:11.125] [INFO] default - [10.3.135.10 GET /www/images/logo-e5eaf9963c.png 304 170ms][http://10.3.135.10:10000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T11:59:11.128] [INFO] default - [10.3.135.10 GET /www/images/weixin-d81945581f.jpg 304 171ms][http://10.3.135.10:10000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T11:59:11.139] [INFO] default - [10.3.135.10 GET /www/images/userlogo.gif 200 183ms][http://10.3.135.10:10000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T11:59:11.207] [INFO] default - [10.3.135.10 GET /www/images/big0-ac1f59baaa.jpg 304 0ms][http://10.3.135.10:10000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T11:59:13.304] [INFO] default - [10.3.135.10 GET /www/images/big1-32bb887f2a.jpg 304 2ms][http://10.3.135.10:10000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T11:59:23.299] [INFO] default - [10.3.135.10 GET /www/images/big2-3db3ff8a57.jpg 304 1ms][http://10.3.135.10:10000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T11:59:27.199] [INFO] default - [10.3.135.10 GET /www/images/big3-b966ef5b19.jpg 304 3ms][http://10.3.135.10:10000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T11:59:31.196] [INFO] default - [10.3.135.10 GET /www/images/big4-8b61392485.jpg 304 1ms][http://10.3.135.10:10000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T11:59:35.199] [INFO] default - [10.3.135.10 GET /www/images/big5-d969b56f32.jpg 304 2ms][http://10.3.135.10:10000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T11:59:39.198] [INFO] default - [10.3.135.10 GET /www/images/big6-e78496e82e.jpg 304 1ms][http://10.3.135.10:10000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T11:59:43.260] [INFO] default - [10.3.135.10 GET /www/images/big7-022d4be85e.jpg 304 3ms][http://10.3.135.10:10000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T11:59:47.197] [INFO] default - [10.3.135.10 GET /www/images/big0-ac1f59baaa.jpg 304 1ms][http://10.3.135.10:10000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T12:00:11.245] [INFO] default - [10.3.135.10 GET /www/images/big6-e78496e82e.jpg 304 1ms][http://10.3.135.10:10000/ HTTP/1.1 Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1]
[2018-10-08T12:00:15.197] [INFO] default - [10.3.135.10 GET /www/images/big7-022d4be85e.jpg 304 1ms][http://10.3.135.10:10000/ HTTP/1.1 Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1]
[2018-10-08T12:00:19.197] [INFO] default - [10.3.135.10 GET /www/images/big0-ac1f59baaa.jpg 304 2ms][http://10.3.135.10:10000/ HTTP/1.1 Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1]
[2018-10-08T12:00:23.209] [INFO] default - [10.3.135.10 GET /www/images/big1-32bb887f2a.jpg 304 0ms][http://10.3.135.10:10000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T12:00:27.204] [INFO] default - [10.3.135.10 GET /www/images/big2-3db3ff8a57.jpg 304 2ms][http://10.3.135.10:10000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T12:00:31.196] [INFO] default - [10.3.135.10 GET /www/images/big3-b966ef5b19.jpg 304 1ms][http://10.3.135.10:10000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T12:00:35.199] [INFO] default - [10.3.135.10 GET /www/images/big4-8b61392485.jpg 304 4ms][http://10.3.135.10:10000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T12:05:18.685] [INFO] default - [10.3.135.10 GET /www/images/big2-3db3ff8a57.jpg 304 2ms][http://10.3.135.10:10000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T12:05:19.218] [INFO] default - [10.3.135.10 GET /www/images/big3-b966ef5b19.jpg 304 3ms][http://10.3.135.10:10000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T12:05:20.910] [INFO] default - [10.3.135.10 GET / 304 22ms][http://10.3.135.10:10000/register HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T12:05:21.018] [INFO] default - [10.3.135.10 GET /www/css/base-fa7f8158cc.css 304 9ms][http://10.3.135.10:10000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
